iter	RMSE
0	318.3486287
1	310.6419437
2	303.1501919
3	295.8154963
4	288.7738442
5	282.1012791
6	275.5588023
7	268.9934131
8	262.9726883
9	256.9390865
10	251.2036468
11	245.7364279
12	240.59625
13	235.3111221
14	230.4912392
15	225.5761279
16	220.786724
17	216.2347574
18	211.8390517
19	207.7131232
20	203.6246732
21	199.6129914
22	195.8759671
23	192.1861011
24	188.660112
25	185.1461126
26	181.9555898
27	178.8815408
28	175.8598537
29	172.8588445
30	170.1497447
31	167.5099701
32	164.8845763
33	162.3851027
34	160.029321
35	157.7202097
36	155.4522996
37	153.2463058
38	151.2060147
39	149.2774209
40	147.3522918
41	145.5646369
42	143.9550888
43	142.3087602
44	140.7398551
45	139.1842658
46	137.7423085
47	136.278962
48	134.9975023
49	133.6981951
50	132.4782637
51	131.3093647
52	130.1880513
53	129.1299058
54	128.1670798
55	127.1898897
56	126.2249934
57	125.3152958
58	124.4725447
59	123.6577976
60	122.7631149
61	121.902517
62	120.9760108
63	120.1366463
64	119.3770496
65	118.7595545
66	118.156053
67	117.5399017
68	116.9938739
69	116.3839606
70	115.8904265
71	115.3028183
72	114.8579972
73	114.1823356
74	113.6807031
75	113.2569599
76	112.8442782
77	112.4079777
78	112.0392278
79	111.6778409
80	111.2222602
81	110.889848
82	110.3339178
83	109.7936665
84	109.3248426
85	109.0263264
86	108.5674765
87	108.2925807
88	107.9332854
89	107.6540878
90	107.3947369
91	107.132056
92	106.7449425
93	106.5243467
94	106.2636784
95	106.0133525
96	105.7193286
97	105.4986097
98	105.2925441
99	105.0731086
100	104.8746918
101	104.697829
102	104.3686387
103	104.2230156
104	104.0081285
105	103.8753265
106	103.6723095
107	103.3951346
108	103.1866892
109	103.0827458
110	102.8459245
111	102.7147045
112	102.5712701
113	102.3874457
114	102.222105
115	102.0108613
116	101.8093369
117	101.6740075
118	101.5316177
119	101.3865212
120	101.1882711
121	101.0323267
122	100.9055704
123	100.8058361
124	100.6964006
125	100.559996
126	100.4560249
127	100.3707607
128	100.2369091
129	100.022938
130	99.9286806
131	99.78941336
132	99.6934304
133	99.6283265
134	99.51868452
135	99.43761989
136	99.13972796
137	99.05549722
138	98.97723122
139	98.88555269
140	98.78431536
141	98.7225586
142	98.65735861
143	98.57499515
144	98.46677753
145	98.29635399
146	98.16944259
147	98.1124341
148	97.9810965
149	97.90891767
150	97.82835236
151	97.73983071
152	97.68390335
153	97.62632424
154	97.56229519
155	97.49607342
156	97.44046766
157	97.28150464
158	97.21862263
159	97.09354345
160	97.01070743
161	96.94682324
162	96.8927719
163	96.77806166
164	96.67030306
165	96.5835589
166	96.51819655
167	96.44123827
168	96.25765983
169	96.19929261
170	96.14661665
171	96.11031137
172	96.03860834
173	95.95928975
174	95.92222553
175	95.87426029
176	95.80586826
177	95.60931016
178	95.54464582
179	95.50376259
180	95.42253099
181	95.29450977
182	95.15927132
183	95.05411569
184	94.94147537
185	94.84553646
186	94.79742353
187	94.74810446
188	94.57722286
189	94.50910539
190	94.44093451
191	94.33347776
192	94.28487328
193	94.24119529
194	94.21281624
195	94.16245109
196	94.13027196
197	94.05244703
198	93.97825626
199	93.92413553
200	93.86739809
201	93.82757896
202	93.79509768
203	93.73124327
204	93.62763119
205	93.58665408
206	93.52553998
207	93.47819475
208	93.42592494
209	93.33046521
210	93.27594412
211	93.23391053
212	93.20052211
213	93.13443734
214	93.08392869
215	93.0235615
216	92.96749186
217	92.90996032
218	92.87296562
219	92.83976365
220	92.80287089
221	92.75365293
222	92.7226256
223	92.69301487
224	92.63494368
225	92.60506354
226	92.56534361
227	92.49204112
228	92.43389354
229	92.37916688
230	92.34812405
231	92.29199263
232	92.23056294
233	92.2050432
234	92.15626746
235	92.11555908
236	92.04227783
237	91.99872348
238	91.9543077
239	91.86616194
240	91.7993083
241	91.72039173
242	91.64377019
243	91.59962531
244	91.54255216
245	91.50392378
246	91.46091365
247	91.44192767
248	91.36232478
249	91.24333674
250	91.20821807
251	91.16915598
252	91.10778484
253	91.06064526
254	90.97364842
255	90.92690574
256	90.87157635
257	90.80034336
258	90.76818043
259	90.7333721
260	90.70712499
261	90.62199868
262	90.56917007
263	90.54196869
264	90.49946957
265	90.43653862
266	90.34929832
267	90.29879482
268	90.22435353
269	90.15934751
270	90.10506291
271	90.05947327
272	90.03128489
273	89.96088741
274	89.92264208
275	89.84871193
276	89.8081331
277	89.77163962
278	89.72959672
279	89.68881348
280	89.63082146
281	89.59001106
282	89.52983229
283	89.47694847
284	89.45229377
285	89.39501209
286	89.33599201
287	89.27520849
288	89.22714872
289	89.19006657
290	89.10425824
291	89.08509265
292	89.04644879
293	89.01648183
294	88.93806495
295	88.91705353
296	88.8784729
297	88.83686106
298	88.76314803
299	88.73044115
