UNIXTime,Data,Time,Radiation,Temperature,Pressure,Humidity,WindDirection_Degrees,Speed,TimeSunRise,TimeSunSet
1474375505,9/20/2016 12:00:00 AM,02:45:05,1.19,47,30.4,36,170.09,6.75,06:11:00,18:21:00
1474375202,9/20/2016 12:00:00 AM,02:40:02,1.28,47,30.4,37,181.27,5.62,06:11:00,18:21:00
1474374905,9/20/2016 12:00:00 AM,02:35:05,1.19,48,30.4,37,177.29,6.75,06:11:00,18:21:00
1474374603,9/20/2016 12:00:00 AM,02:30:03,1.25,48,30.4,39,177.76,6.75,06:11:00,18:21:00
1474371604,9/20/2016 12:00:00 AM,01:40:04,1.23,49,30.41,45,175.54,5.62,06:11:00,18:21:00
1474374304,9/20/2016 12:00:00 AM,02:25:04,1.24,48,30.4,38,174.92,4.5,06:11:00,18:21:00
1474373704,9/20/2016 12:00:00 AM,02:15:04,1.22,48,30.4,38,172.07,7.87,06:11:00,18:21:00
1474373420,9/20/2016 12:00:00 AM,02:10:20,1.28,48,30.4,40,169.34,5.62,06:11:00,18:21:00
1474373107,9/20/2016 12:00:00 AM,02:05:07,1.25,48,30.4,41,162.26,7.87,06:11:00,18:21:00
1474372805,9/20/2016 12:00:00 AM,02:00:05,1.25,48,30.41,39,165.14,5.62,06:11:00,18:21:00
1474372504,9/20/2016 12:00:00 AM,01:55:04,1.22,48,30.41,43,181.48,5.62,06:11:00,18:21:00
1474372209,9/20/2016 12:00:00 AM,01:50:09,1.23,48,30.41,45,175.38,6.75,06:11:00,18:21:00
1474374006,9/20/2016 12:00:00 AM,02:20:06,1.25,48,30.4,38,168.93,3.37,06:11:00,18:21:00
1474387506,9/20/2016 12:00:00 AM,06:05:06,3.58,48,30.4,34,111.67,3.37,06:11:00,18:21:00
1474377308,9/20/2016 12:00:00 AM,03:15:08,1.24,47,30.39,35,168.64,6.75,06:11:00,18:21:00
1474388105,9/20/2016 12:00:00 AM,06:15:05,7.92,47,30.4,39,152.66,3.37,06:11:00,18:21:00
1474402805,9/20/2016 12:00:00 AM,10:20:05,908.89,62,30.43,65,41.84,7.87,06:11:00,18:21:00
1474402507,9/20/2016 12:00:00 AM,10:15:07,905.59,62,30.43,63,359.9,7.87,06:11:00,18:21:00
1474402208,9/20/2016 12:00:00 AM,10:10:08,889.67,62,30.43,62,2.73,4.5,06:11:00,18:21:00
1474401906,9/20/2016 12:00:00 AM,10:05:06,883.87,62,30.43,56,13.05,7.87,06:11:00,18:21:00
1474401606,9/20/2016 12:00:00 AM,10:00:06,876.5,62,30.42,55,0.11,3.37,06:11:00,18:21:00
1474401306,9/20/2016 12:00:00 AM,09:55:06,866.43,61,30.42,58,63.04,3.37,06:11:00,18:21:00
1474403108,9/20/2016 12:00:00 AM,10:25:08,910.84,61,30.43,65,0.11,6.75,06:11:00,18:21:00
1474401007,9/20/2016 12:00:00 AM,09:50:07,852.06,61,30.42,65,61.86,3.37,06:11:00,18:21:00
1474400408,9/20/2016 12:00:00 AM,09:40:08,820.78,60,30.42,70,98.81,6.75,06:11:00,18:21:00
1474400103,9/20/2016 12:00:00 AM,09:35:03,805.36,60,30.42,71,33.02,3.37,06:11:00,18:21:00
1474399804,9/20/2016 12:00:00 AM,09:30:04,789.1,60,30.42,67,60.35,5.62,06:11:00,18:21:00
1474399508,9/20/2016 12:00:00 AM,09:25:08,774.98,60,30.42,66,48.85,2.25,06:11:00,18:21:00
1474399207,9/20/2016 12:00:00 AM,09:20:07,754.75,60,30.42,67,3.51,5.62,06:11:00,18:21:00
1474398904,9/20/2016 12:00:00 AM,09:15:04,738.22,61,30.42,62,18.01,4.5,06:11:00,18:21:00
1474400702,9/20/2016 12:00:00 AM,09:45:02,836.46,60,30.42,68,358.22,2.25,06:11:00,18:21:00
