UNIXTime,Data,Time,Radiation,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,TimeSunRise,TimeSunSet,datetime
1472724008,9/1/2016 12:00:00 AM,00:00:08,2.58,51,30.43,103,77.27,11.25,06:07:00,18:38:00,2016-09-01 10:00:08
1472724310,9/1/2016 12:00:00 AM,00:05:10,2.83,51,30.43,103,153.44,9.0,06:07:00,18:38:00,2016-09-01 10:05:10
1472725206,9/1/2016 12:00:00 AM,00:20:06,2.16,51,30.43,103,142.04,7.87,06:07:00,18:38:00,2016-09-01 10:20:06
1472725505,9/1/2016 12:00:00 AM,00:25:05,2.21,51,30.43,103,144.12,18.0,06:07:00,18:38:00,2016-09-01 10:25:05
1472725809,9/1/2016 12:00:00 AM,00:30:09,2.25,51,30.43,103,67.42,11.25,06:07:00,18:38:00,2016-09-01 10:30:09
1472726704,9/1/2016 12:00:00 AM,00:45:04,2.15,51,30.43,103,67.85,4.5,06:07:00,18:38:00,2016-09-01 10:45:04
1472727006,9/1/2016 12:00:00 AM,00:50:06,2.07,51,30.43,103,156.58,1.12,06:07:00,18:38:00,2016-09-01 10:50:06
1472727304,9/1/2016 12:00:00 AM,00:55:04,2.06,52,30.43,103,69.98,7.87,06:07:00,18:38:00,2016-09-01 10:55:04
1472727607,9/1/2016 12:00:00 AM,01:00:07,2.1,52,30.43,103,92.15,4.5,06:07:00,18:38:00,2016-09-01 11:00:07
1472727905,9/1/2016 12:00:00 AM,01:05:05,2.07,52,30.42,103,68.17,4.5,06:07:00,18:38:00,2016-09-01 11:05:05
1472728206,9/1/2016 12:00:00 AM,01:10:06,2.1,51,30.42,103,158.06,4.5,06:07:00,18:38:00,2016-09-01 11:10:06
1472728514,9/1/2016 12:00:00 AM,01:15:14,2.4,51,30.42,103,39.69,3.37,06:07:00,18:38:00,2016-09-01 11:15:14
1472728803,9/1/2016 12:00:00 AM,01:20:03,2.06,51,30.42,103,183.01,7.87,06:07:00,18:38:00,2016-09-01 11:20:03
1472729106,9/1/2016 12:00:00 AM,01:25:06,3.55,51,30.42,103,112.42,4.5,06:07:00,18:38:00,2016-09-01 11:25:06
1472729408,9/1/2016 12:00:00 AM,01:30:08,3.63,52,30.41,103,79.47,3.37,06:07:00,18:38:00,2016-09-01 11:30:08
1472729704,9/1/2016 12:00:00 AM,01:35:04,3.76,52,30.41,103,134.44,10.12,06:07:00,18:38:00,2016-09-01 11:35:04
1472730007,9/1/2016 12:00:00 AM,01:40:07,3.25,52,30.42,103,81.23,3.37,06:07:00,18:38:00,2016-09-01 11:40:07
1472730308,9/1/2016 12:00:00 AM,01:45:08,3.9,52,30.41,103,270.48,5.62,06:07:00,18:38:00,2016-09-01 11:45:08
1472730643,9/1/2016 12:00:00 AM,01:50:43,3.13,51,30.41,103,170.97,5.62,06:07:00,18:38:00,2016-09-01 11:50:43
1472730904,9/1/2016 12:00:00 AM,01:55:04,3.37,51,30.42,103,66.06,5.62,06:07:00,18:38:00,2016-09-01 11:55:04
1472731205,9/1/2016 12:00:00 AM,02:00:05,3.51,51,30.41,103,135.75,14.62,06:07:00,18:38:00,2016-09-01 12:00:05
1472731505,9/1/2016 12:00:00 AM,02:05:05,2.84,51,30.41,103,127.54,12.37,06:07:00,18:38:00,2016-09-01 12:05:05
1472731809,9/1/2016 12:00:00 AM,02:10:09,3.26,51,30.41,103,158.09,4.5,06:07:00,18:38:00,2016-09-01 12:10:09
1472732103,9/1/2016 12:00:00 AM,02:15:03,2.57,51,30.41,103,131.57,12.37,06:07:00,18:38:00,2016-09-01 12:15:03
1472732408,9/1/2016 12:00:00 AM,02:20:08,2.58,51,30.41,103,166.75,7.87,06:07:00,18:38:00,2016-09-01 12:20:08
1472732706,9/1/2016 12:00:00 AM,02:25:06,3.24,51,30.4,103,109.84,9.0,06:07:00,18:38:00,2016-09-01 12:25:06
1472733006,9/1/2016 12:00:00 AM,02:30:06,2.87,51,30.4,103,143.65,14.62,06:07:00,18:38:00,2016-09-01 12:30:06
1472733310,9/1/2016 12:00:00 AM,02:35:10,2.52,51,30.4,103,105.55,5.62,06:07:00,18:38:00,2016-09-01 12:35:10
1472733609,9/1/2016 12:00:00 AM,02:40:09,2.74,51,30.4,103,117.72,11.25,06:07:00,18:38:00,2016-09-01 12:40:09
1472733904,9/1/2016 12:00:00 AM,02:45:04,2.3,51,30.4,103,119.72,12.37,06:07:00,18:38:00,2016-09-01 12:45:04
1472734207,9/1/2016 12:00:00 AM,02:50:07,2.25,51,30.4,103,164.35,9.0,06:07:00,18:38:00,2016-09-01 12:50:07
1472734504,9/1/2016 12:00:00 AM,02:55:04,2.12,51,30.4,103,156.3,2.25,06:07:00,18:38:00,2016-09-01 12:55:04
