UNIXTime,Data,Time,Radiation,Temperature,Pressure,Humidity,WindDirection_Degrees,Speed,TimeSunRise,TimeSunSet
1472793006,9/1/2016 12:00:00 AM,19:10:06,2.53,55,30.45,65,155.71,3.37,06:07:00,18:38:00
1472781308,9/1/2016 12:00:00 AM,15:55:08,628.8,63,30.42,58,1.55,6.75,06:07:00,18:38:00
1472781606,9/1/2016 12:00:00 AM,16:00:06,596.57,62,30.42,56,81.7,5.62,06:07:00,18:38:00
1472781907,9/1/2016 12:00:00 AM,16:05:07,577.1,62,30.42,57,53.61,7.87,06:07:00,18:38:00
1472782211,9/1/2016 12:00:00 AM,16:10:11,573.13,62,30.42,58,14.04,3.37,06:07:00,18:38:00
1472782508,9/1/2016 12:00:00 AM,16:15:08,564.1,62,30.42,58,49.52,6.75,06:07:00,18:38:00
1472782803,9/1/2016 12:00:00 AM,16:20:03,536.66,62,30.42,57,30.91,4.5,06:07:00,18:38:00
1472783106,9/1/2016 12:00:00 AM,16:25:06,497.13,63,30.42,50,79.57,5.62,06:07:00,18:38:00
1472783407,9/1/2016 12:00:00 AM,16:30:07,487.99,63,30.42,53,79.61,12.37,06:07:00,18:38:00
1472783703,9/1/2016 12:00:00 AM,16:35:03,409.4,62,30.42,53,98.89,7.87,06:07:00,18:38:00
1472784010,9/1/2016 12:00:00 AM,16:40:10,457.65,62,30.42,52,78.89,11.25,06:07:00,18:38:00
1472784304,9/1/2016 12:00:00 AM,16:45:04,394.97,62,30.43,52,99.17,6.75,06:07:00,18:38:00
1472784607,9/1/2016 12:00:00 AM,16:50:07,391.31,62,30.43,52,158.17,4.5,06:07:00,18:38:00
1472784905,9/1/2016 12:00:00 AM,16:55:05,419.82,62,30.43,53,101.72,7.87,06:07:00,18:38:00
1472785204,9/1/2016 12:00:00 AM,17:00:04,295.09,62,30.43,54,133.77,5.62,06:07:00,18:38:00
1472785508,9/1/2016 12:00:00 AM,17:05:08,135.35,61,30.43,54,150.09,9.0,06:07:00,18:38:00
1472785805,9/1/2016 12:00:00 AM,17:10:05,136.33,60,30.43,56,30.91,2.25,06:07:00,18:38:00
1472786108,9/1/2016 12:00:00 AM,17:15:08,128.31,60,30.43,59,7.77,2.25,06:07:00,18:38:00
1472786405,9/1/2016 12:00:00 AM,17:20:05,117.46,59,30.43,60,62.22,1.12,06:07:00,18:38:00
1472786704,9/1/2016 12:00:00 AM,17:25:04,107.07,59,30.43,58,94.85,5.62,06:07:00,18:38:00
1472787009,9/1/2016 12:00:00 AM,17:30:09,92.85,59,30.44,57,94.26,1.12,06:07:00,18:38:00
1472787612,9/1/2016 12:00:00 AM,17:40:12,80.18,58,30.44,56,123.45,7.87,06:07:00,18:38:00
1472788208,9/1/2016 12:00:00 AM,17:50:08,52.13,58,30.44,56,58.72,4.5,06:07:00,18:38:00
1472788508,9/1/2016 12:00:00 AM,17:55:08,46.79,58,30.44,56,65.06,3.37,06:07:00,18:38:00
1472788807,9/1/2016 12:00:00 AM,18:00:07,28.36,58,30.44,57,39.39,2.25,06:07:00,18:38:00
1472789104,9/1/2016 12:00:00 AM,18:05:04,16.63,58,30.44,54,76.68,2.25,06:07:00,18:38:00
1472789409,9/1/2016 12:00:00 AM,18:10:09,13.08,57,30.44,55,111.12,3.37,06:07:00,18:38:00
1472789709,9/1/2016 12:00:00 AM,18:15:09,11.66,57,30.44,57,125.58,4.5,06:07:00,18:38:00
1472780707,9/1/2016 12:00:00 AM,15:45:07,669.48,63,30.41,58,46.06,10.12,06:07:00,18:38:00
1472779810,9/1/2016 12:00:00 AM,15:30:10,725.79,62,30.41,56,76.66,2.25,06:07:00,18:38:00
1472779507,9/1/2016 12:00:00 AM,15:25:07,739.28,62,30.41,58,1.89,11.25,06:07:00,18:38:00
1472779205,9/1/2016 12:00:00 AM,15:20:05,760.63,62,30.41,55,115.26,9.0,06:07:00,18:38:00
1472769605,9/1/2016 12:00:00 AM,12:40:05,1073.43,60,30.45,60,63.24,11.25,06:07:00,18:38:00
1472769906,9/1/2016 12:00:00 AM,12:45:06,1069.16,61,30.45,62,65.54,4.5,06:07:00,18:38:00
1472770809,9/1/2016 12:00:00 AM,13:00:09,1059.15,61,30.45,64,101.98,10.12,06:07:00,18:38:00
1472771107,9/1/2016 12:00:00 AM,13:05:07,1051.8,61,30.45,68,339.64,4.5,06:07:00,18:38:00
1472771404,9/1/2016 12:00:00 AM,13:10:04,1058.61,61,30.44,61,96.98,5.62,06:07:00,18:38:00
1472771707,9/1/2016 12:00:00 AM,13:15:07,1048.67,62,30.44,57,67.84,7.87,06:07:00,18:38:00
1472772008,9/1/2016 12:00:00 AM,13:20:08,1039.12,62,30.44,65,238.47,3.37,06:07:00,18:38:00
1472772304,9/1/2016 12:00:00 AM,13:25:04,1019.48,62,30.44,65,31.15,9.0,06:07:00,18:38:00
1472772610,9/1/2016 12:00:00 AM,13:30:10,1018.59,61,30.44,66,47.08,6.75,06:07:00,18:38:00
1472772910,9/1/2016 12:00:00 AM,13:35:10,998.96,62,30.44,62,29.13,10.12,06:07:00,18:38:00
1472773207,9/1/2016 12:00:00 AM,13:40:07,1004.49,62,30.44,67,28.19,2.25,06:07:00,18:38:00
1472773805,9/1/2016 12:00:00 AM,13:50:05,989.02,62,30.43,61,120.03,6.75,06:07:00,18:38:00
1472774106,9/1/2016 12:00:00 AM,13:55:06,978.9,62,30.43,61,46.48,6.75,06:07:00,18:38:00
1472790003,9/1/2016 12:00:00 AM,18:20:03,9.45,57,30.44,59,141.64,4.5,06:07:00,18:38:00
1472774407,9/1/2016 12:00:00 AM,14:00:07,972.4,62,30.43,57,104.9,4.5,06:07:00,18:38:00
1472775006,9/1/2016 12:00:00 AM,14:10:06,942.14,63,30.43,56,94.0,4.5,06:07:00,18:38:00
1472775304,9/1/2016 12:00:00 AM,14:15:04,926.05,63,30.43,61,53.76,4.5,06:07:00,18:38:00
1472775609,9/1/2016 12:00:00 AM,14:20:09,918.24,62,30.42,59,53.03,9.0,06:07:00,18:38:00
1472775904,9/1/2016 12:00:00 AM,14:25:04,902.24,62,30.42,61,357.5,3.37,06:07:00,18:38:00
1472776205,9/1/2016 12:00:00 AM,14:30:05,884.62,63,30.42,61,39.69,7.87,06:07:00,18:38:00
1472776503,9/1/2016 12:00:00 AM,14:35:03,877.7,62,30.42,58,3.91,9.0,06:07:00,18:38:00
1472776808,9/1/2016 12:00:00 AM,14:40:08,866.92,62,30.42,59,357.11,7.87,06:07:00,18:38:00
1472777108,9/1/2016 12:00:00 AM,14:45:08,856.11,62,30.42,60,56.36,5.62,06:07:00,18:38:00
1472777404,9/1/2016 12:00:00 AM,14:50:04,843.89,62,30.42,57,60.02,11.25,06:07:00,18:38:00
1472778006,9/1/2016 12:00:00 AM,15:00:06,806.42,62,30.42,59,5.42,5.62,06:07:00,18:38:00
1472778304,9/1/2016 12:00:00 AM,15:05:04,793.65,62,30.42,58,116.21,7.87,06:07:00,18:38:00
1472778609,9/1/2016 12:00:00 AM,15:10:09,782.78,62,30.41,60,22.44,2.25,06:07:00,18:38:00
1472778907,9/1/2016 12:00:00 AM,15:15:07,773.13,63,30.41,63,92.76,11.25,06:07:00,18:38:00
1472774706,9/1/2016 12:00:00 AM,14:05:06,948.24,62,30.43,56,60.41,9.0,06:07:00,18:38:00
1472769007,9/1/2016 12:00:00 AM,12:30:07,1072.94,60,30.45,68,8.97,5.62,06:07:00,18:38:00
1472790306,9/1/2016 12:00:00 AM,18:25:06,11.46,57,30.44,59,152.66,4.5,06:07:00,18:38:00
1472791505,9/1/2016 12:00:00 AM,18:45:05,4.22,56,30.44,59,115.38,6.75,06:07:00,18:38:00
1472802306,9/1/2016 12:00:00 AM,21:45:06,2.6,51,30.46,88,116.78,11.25,06:07:00,18:38:00
1472802607,9/1/2016 12:00:00 AM,21:50:07,2.65,52,30.46,89,146.85,3.37,06:07:00,18:38:00
1472802904,9/1/2016 12:00:00 AM,21:55:04,2.6,52,30.46,86,146.43,2.25,06:07:00,18:38:00
1472803208,9/1/2016 12:00:00 AM,22:00:08,2.36,52,30.47,86,68.03,1.12,06:07:00,18:38:00
1472803508,9/1/2016 12:00:00 AM,22:05:08,2.16,52,30.47,91,124.12,1.12,06:07:00,18:38:00
1472803809,9/1/2016 12:00:00 AM,22:10:09,2.37,52,30.47,94,141.87,2.25,06:07:00,18:38:00
1472804105,9/1/2016 12:00:00 AM,22:15:05,2.04,52,30.47,95,128.9,4.5,06:07:00,18:38:00
1472804405,9/1/2016 12:00:00 AM,22:20:05,1.93,51,30.47,96,133.02,2.25,06:07:00,18:38:00
1472804704,9/1/2016 12:00:00 AM,22:25:04,2.68,51,30.47,97,169.82,3.37,06:07:00,18:38:00
1472805006,9/1/2016 12:00:00 AM,22:30:06,2.52,51,30.47,98,108.89,2.25,06:07:00,18:38:00
1472805304,9/1/2016 12:00:00 AM,22:35:04,3.03,51,30.47,98,141.09,5.62,06:07:00,18:38:00
1472805603,9/1/2016 12:00:00 AM,22:40:03,2.5,51,30.47,98,170.29,4.5,06:07:00,18:38:00
1472805904,9/1/2016 12:00:00 AM,22:45:04,2.13,51,30.46,99,134.31,6.75,06:07:00,18:38:00
1472806208,9/1/2016 12:00:00 AM,22:50:08,2.32,51,30.47,99,44.45,0.0,06:07:00,18:38:00
1472806509,9/1/2016 12:00:00 AM,22:55:09,1.99,51,30.46,99,154.29,2.25,06:07:00,18:38:00
1472806806,9/1/2016 12:00:00 AM,23:00:06,2.24,51,30.46,99,157.9,3.37,06:07:00,18:38:00
1472807104,9/1/2016 12:00:00 AM,23:05:04,2.52,50,30.46,98,169.11,5.62,06:07:00,18:38:00
1472807404,9/1/2016 12:00:00 AM,23:10:04,1.9,50,30.46,92,150.87,5.62,06:07:00,18:38:00
1472807710,9/1/2016 12:00:00 AM,23:15:10,1.92,51,30.46,83,147.04,6.75,06:07:00,18:38:00
1472808005,9/1/2016 12:00:00 AM,23:20:05,1.58,51,30.46,80,162.73,2.25,06:07:00,18:38:00
1472808305,9/1/2016 12:00:00 AM,23:25:05,2.28,52,30.46,78,171.41,3.37,06:07:00,18:38:00
1472808604,9/1/2016 12:00:00 AM,23:30:04,2.03,52,30.46,77,7.12,2.25,06:07:00,18:38:00
1472808904,9/1/2016 12:00:00 AM,23:35:04,1.79,52,30.46,86,148.24,3.37,06:07:00,18:38:00
1472809208,9/1/2016 12:00:00 AM,23:40:08,3.15,52,30.46,84,132.2,5.62,06:07:00,18:38:00
1472809503,9/1/2016 12:00:00 AM,23:45:03,3.3,52,30.46,81,142.77,4.5,06:07:00,18:38:00
1472809803,9/1/2016 12:00:00 AM,23:50:03,2.42,52,30.46,79,168.41,2.25,06:07:00,18:38:00
1472810107,9/1/2016 12:00:00 AM,23:55:07,3.05,52,30.46,76,69.32,2.25,06:07:00,18:38:00
1472802012,9/1/2016 12:00:00 AM,21:40:12,2.67,51,30.47,88,99.61,5.62,06:07:00,18:38:00
1472801705,9/1/2016 12:00:00 AM,21:35:05,2.28,51,30.47,88,120.1,1.12,06:07:00,18:38:00
1472801407,9/1/2016 12:00:00 AM,21:30:07,2.33,51,30.47,88,160.19,4.5,06:07:00,18:38:00
1472801103,9/1/2016 12:00:00 AM,21:25:03,2.47,51,30.47,86,163.58,3.37,06:07:00,18:38:00
1472791806,9/1/2016 12:00:00 AM,18:50:06,2.51,56,30.44,61,142.83,3.37,06:07:00,18:38:00
1472792406,9/1/2016 12:00:00 AM,19:00:06,2.77,55,30.45,63,145.28,4.5,06:07:00,18:38:00
1472792704,9/1/2016 12:00:00 AM,19:05:04,3.04,55,30.45,64,127.1,0.0,06:07:00,18:38:00
1472793607,9/1/2016 12:00:00 AM,19:20:07,2.62,55,30.45,61,68.27,3.37,06:07:00,18:38:00
1472793906,9/1/2016 12:00:00 AM,19:25:06,2.63,55,30.45,60,83.02,1.12,06:07:00,18:38:00
1472794205,9/1/2016 12:00:00 AM,19:30:05,2.22,55,30.45,67,60.17,2.25,06:07:00,18:38:00
1472794506,9/1/2016 12:00:00 AM,19:35:06,2.63,54,30.45,67,129.35,4.5,06:07:00,18:38:00
1472794805,9/1/2016 12:00:00 AM,19:40:05,2.37,54,30.45,66,164.52,1.12,06:07:00,18:38:00
1472795104,9/1/2016 12:00:00 AM,19:45:04,2.48,54,30.45,65,108.06,3.37,06:07:00,18:38:00
1472795405,9/1/2016 12:00:00 AM,19:50:05,2.87,54,30.45,66,160.56,3.37,06:07:00,18:38:00
1472795704,9/1/2016 12:00:00 AM,19:55:04,2.47,54,30.45,65,104.07,3.37,06:07:00,18:38:00
1472796012,9/1/2016 12:00:00 AM,20:00:12,2.37,54,30.45,64,142.03,7.87,06:07:00,18:38:00
1472796308,9/1/2016 12:00:00 AM,20:05:08,2.38,54,30.46,64,82.95,4.5,06:07:00,18:38:00
1472791204,9/1/2016 12:00:00 AM,18:40:04,5.78,56,30.44,59,109.7,2.25,06:07:00,18:38:00
1472796613,9/1/2016 12:00:00 AM,20:10:13,2.62,54,30.46,65,139.23,2.25,06:07:00,18:38:00
1472797206,9/1/2016 12:00:00 AM,20:20:06,2.15,54,30.46,64,104.55,3.37,06:07:00,18:38:00
1472797502,9/1/2016 12:00:00 AM,20:25:02,2.1,54,30.46,66,158.6,3.37,06:07:00,18:38:00
1472797806,9/1/2016 12:00:00 AM,20:30:06,2.36,53,30.46,67,126.94,4.5,06:07:00,18:38:00
1472798107,9/1/2016 12:00:00 AM,20:35:07,2.58,53,30.46,69,117.98,6.75,06:07:00,18:38:00
1472798408,9/1/2016 12:00:00 AM,20:40:08,2.64,52,30.46,68,127.75,9.0,06:07:00,18:38:00
1472798705,9/1/2016 12:00:00 AM,20:45:05,2.57,51,30.46,68,92.36,7.87,06:07:00,18:38:00
1472799008,9/1/2016 12:00:00 AM,20:50:08,3.0,51,30.46,67,128.64,6.75,06:07:00,18:38:00
