iter	Passed	Remaining
0	27	8079
1	36	5512
2	48	4849
3	55	4077
4	66	3948
5	76	3742
6	85	3562
7	94	3459
8	101	3284
9	108	3145
10	115	3039
11	132	3179
12	142	3155
13	150	3070
14	157	2991
15	167	2968
16	172	2866
17	183	2873
18	190	2814
19	200	2808
20	203	2710
21	209	2646
22	216	2611
23	222	2558
24	230	2538
25	234	2466
26	243	2464
27	249	2428
28	260	2434
29	266	2396
30	276	2395
31	281	2355
32	286	2317
33	298	2331
34	304	2304
35	311	2287
36	316	2246
37	326	2249
38	331	2217
39	338	2198
40	348	2202
41	360	2215
42	365	2186
43	375	2183
44	392	2225
45	398	2199
46	407	2193
47	412	2165
48	420	2153
49	430	2152
50	439	2143
51	447	2135
52	454	2119
53	462	2107
54	470	2094
55	474	2068
56	479	2046
57	487	2033
58	506	2070
59	511	2047
60	528	2072
61	546	2097
62	550	2070
63	567	2091
64	577	2086
65	586	2080
66	605	2105
67	609	2078
68	625	2094
69	638	2098
70	645	2081
71	649	2056
72	661	2056
73	670	2048
74	682	2048
75	687	2025
76	701	2031
77	711	2024
78	719	2013
79	738	2031
80	747	2021
81	759	2019
82	776	2031
83	781	2010
84	790	1999
85	796	1982
86	802	1965
87	808	1946
88	815	1933
89	831	1939
90	839	1928
91	854	1931
92	858	1911
93	863	1893
94	872	1883
95	885	1881
96	892	1867
97	898	1851
98	907	1842
99	912	1825
100	918	1809
101	924	1794
102	932	1783
103	941	1774
104	952	1768
105	959	1755
106	965	1741
107	976	1736
108	982	1722
109	998	1725
110	1009	1718
111	1026	1723
112	1032	1709
113	1041	1698
114	1047	1684
115	1053	1670
116	1059	1657
117	1064	1641
118	1070	1628
119	1082	1623
120	1090	1613
121	1098	1602
122	1101	1585
123	1107	1572
124	1112	1557
125	1119	1546
126	1129	1538
127	1135	1526
128	1141	1513
129	1151	1505
130	1157	1492
131	1163	1480
132	1170	1469
133	1174	1455
134	1182	1444
135	1191	1436
136	1196	1423
137	1208	1418
138	1214	1406
139	1221	1395
140	1226	1382
141	1232	1370
142	1243	1365
143	1249	1353
144	1254	1341
145	1265	1334
146	1275	1327
147	1282	1317
148	1294	1312
149	1299	1299
150	1305	1288
151	1313	1278
152	1325	1273
153	1331	1262
154	1346	1259
155	1354	1250
156	1362	1241
157	1375	1236
158	1386	1229
159	1393	1219
160	1409	1216
161	1413	1203
162	1423	1196
163	1432	1187
164	1442	1180
165	1457	1176
166	1469	1170
167	1477	1161
168	1490	1155
169	1496	1144
170	1508	1137
171	1514	1126
172	1520	1116
173	1526	1105
174	1533	1095
175	1548	1090
176	1554	1080
177	1564	1072
178	1571	1062
179	1579	1053
180	1583	1040
181	1590	1031
182	1597	1021
183	1600	1008
184	1607	999
185	1614	989
186	1617	977
187	1623	967
188	1630	957
189	1633	945
190	1639	935
191	1648	927
192	1659	920
193	1664	909
194	1671	900
195	1681	892
196	1687	882
197	1692	872
198	1698	862
199	1708	854
200	1713	844
201	1717	833
202	1723	823
203	1732	815
204	1741	807
205	1746	796
206	1755	788
207	1762	779
208	1766	769
209	1772	759
210	1777	749
211	1790	743
212	1797	734
213	1800	723
214	1809	715
215	1819	707
216	1826	698
217	1831	688
218	1842	681
219	1849	672
220	1858	664
221	1862	654
222	1869	645
223	1874	635
224	1879	626
225	1889	618
226	1895	609
227	1906	601
228	1913	593
229	1919	584
230	1927	575
231	1936	567
232	1945	559
233	1954	551
234	1962	542
235	1975	535
236	1992	529
237	2004	522
238	2012	513
239	2015	503
240	2021	494
241	2030	486
242	2039	478
243	2046	469
244	2058	462
245	2064	453
246	2072	444
247	2079	435
248	2082	426
249	2089	417
250	2097	409
251	2105	401
252	2112	392
253	2115	383
254	2121	374
255	2127	365
256	2131	356
257	2139	348
258	2143	339
259	2148	330
260	2160	322
261	2165	314
262	2175	306
263	2182	297
264	2187	288
265	2193	280
266	2199	271
267	2207	263
268	2211	254
269	2219	246
270	2227	238
271	2237	230
272	2242	221
273	2246	213
274	2251	204
275	2268	197
276	2273	188
277	2284	180
278	2294	172
279	2301	164
280	2307	156
281	2313	147
282	2322	139
283	2327	131
284	2330	122
285	2340	114
286	2347	106
287	2357	98
288	2362	89
289	2371	81
290	2378	73
291	2381	65
292	2393	57
293	2397	48
294	2408	40
295	2413	32
296	2421	24
297	2428	16
298	2435	8
299	2442	0
